"Title","Sex","Age_Class","Year"
"223",NA,"Adult",1988
"242",NA,"Adult",1988
"244",NA,"Adult",1988
"245",NA,"Adult",1988
"250",NA,"Adult",1988
"251","FemaleJ","Adult",1988
"3","Male","Adult",1988
"37","Male","Adult",1988
"43",NA,"Adult",1988
"78",NA,"Adult",1988
"1","Male","Adult",1989
"10","Male","Adult",1989
"100","FemaleJ","Adult",1989
"101","Male","Adult",1989
"102","Male","Adult",1989
"104",NA,"Adult",1989
"105",NA,"Adult",1989
"106","FemaleJ","Adult",1989
"111",NA,"Adult",1989
"115",NA,"Adult",1989
"116",NA,"Adult",1989
"118","Male","Adult",1989
"119",NA,"Adult",1989
"120","Male","Adult",1989
"124","Male","Adult",1989
"127",NA,"Adult",1989
"129",NA,"Adult",1989
"13",NA,"Adult",1989
"131","FemaleJ","Adult",1989
"132",NA,"Adult",1989
"134",NA,"Adult",1989
"135",NA,"Adult",1989
"137",NA,"Adult",1989
"138",NA,"Adult",1989
"14",NA,"Adult",1989
"141",NA,"Adult",1989
"144",NA,"Adult",1989
"145",NA,"Juvenile",1989
"146",NA,"Adult",1989
"149",NA,"Adult",1989
"15","Male","Adult",1989
"150",NA,"Adult",1989
"151","FemaleJ","Adult",1989
"152","FemaleJ","Adult",1989
"153","FemaleJ","Juvenile",1989
"156",NA,"Adult",1989
"159","FemaleJ","Adult",1989
"162","FemaleJ","Adult",1989
"168",NA,"Adult",1989
"17","FemaleJ","Adult",1989
"174",NA,"Juvenile",1989
"176",NA,"Adult",1989
"178",NA,"Adult",1989
"18","Male","Adult",1989
"183",NA,"Juvenile",1989
"184",NA,"Juvenile",1989
"186","Male","Adult",1989
"189",NA,"Adult",1989
"195",NA,"Adult",1989
"197",NA,"Adult",1989
"2",NA,"Adult",1989
"207",NA,"Adult",1989
"208","Male","Adult",1989
"21","Male","Adult",1989
"215",NA,"Adult",1989
"22",NA,"Adult",1989
"24",NA,"Adult",1989
"25",NA,"Adult",1989
"26",NA,"Juvenile",1989
"28","Male","Juvenile",1989
"29",NA,"Adult",1989
"3","Male","Adult",1989
"31",NA,"Adult",1989
"32",NA,"Adult",1989
"33","Male","Adult",1989
"34",NA,"Adult",1989
"37","Male","Adult",1989
"39",NA,"Adult",1989
"40",NA,"Adult",1989
"41",NA,"Adult",1989
"42",NA,"Adult",1989
"43",NA,"Adult",1989
"45","Male","Adult",1989
"46",NA,"Adult",1989
"47","FemaleJ","Adult",1989
"49",NA,"Juvenile",1989
"5",NA,"Adult",1989
"50",NA,"Adult",1989
"51","FemaleJ","Juvenile",1989
"52",NA,"Juvenile",1989
"54","FemaleJ","Adult",1989
"57",NA,"Adult",1989
"6",NA,"Adult",1989
"61","FemaleJ","Adult",1989
"62",NA,"Adult",1989
"63",NA,"Adult",1989
"66",NA,"Adult",1989
"67",NA,"Adult",1989
"69",NA,"Adult",1989
"74","Male","Adult",1989
"75",NA,"Adult",1989
"76","Male","Adult",1989
"78",NA,"Adult",1989
"8",NA,"Adult",1989
"83",NA,"Adult",1989
"87",NA,"Adult",1989
"89","FemaleJ","Adult",1989
"9","FemaleJ","Adult",1989
"90",NA,"Adult",1989
"91",NA,"Juvenile",1989
"92","Male","Adult",1989
"94","FemaleJ","Adult",1989
"97",NA,"Adult",1989
"98","FemaleJ","Adult",1989
"9901","FemaleJ","Adult",1989
"9912",NA,"Adult",1989
"1","Male","Adult",1990
"10","Male","Adult",1990
"101","Male","Adult",1990
"102","Male","Adult",1990
"104",NA,"Adult",1990
"105",NA,"Adult",1990
"106","FemaleJ","Adult",1990
"115",NA,"Adult",1990
"129",NA,"Adult",1990
"13",NA,"Adult",1990
"134",NA,"Adult",1990
"143",NA,"Adult",1990
"15","Male","Adult",1990
"152","FemaleJ","Adult",1990
"153","FemaleJ","Juvenile",1990
"156",NA,"Adult",1990
"158",NA,"Adult",1990
"16","Male","Adult",1990
